SKU,Produto,Quantidade Vendida,Primeiro Nome,Sobrenome,Data,Loja,Preco Unitario,faturamento
HL4379,Televisão,2,Carolina,Alfradique,2018-02-25,Belo Horizonte,2500,5000
HL4379,Televisão,1,Danilo,Rubim,2018-02-20,Belo Horizonte,2500,2500
HL1918,iPhone,5,Bernard,Pedrosa,2018-07-07,Belo Horizonte,5300,26500
HL1918,iPhone,5,Lucas,Lemos,2018-12-26,Belo Horizonte,5300,26500
HL8851,Notebook,5,Bernardo,Botelho,2018-06-08,Belo Horizonte,3500,17500
HL4379,Televisão,2,Raíza,Lopes,2018-04-24,Belo Horizonte,2500,5000
HL8851,Notebook,1,Paola,Abreu,2018-08-02,Belo Horizonte,3500,3500
HL8851,Notebook,4,Marina,Delgado,2018-05-10,Belo Horizonte,3500,14000
HL8851,Notebook,5,Giovana,Vilela,2018-07-10,Belo Horizonte,3500,17500
HL1918,iPhone,5,Gabriel,Brito,2018-07-15,Belo Horizonte,5300,26500
HL7348,SmartWatch,1,Amanda,Delgado,2018-10-22,Belo Horizonte,1400,1400
HL1918,iPhone,5,Isabella,Scalabrin,2018-06-13,Belo Horizonte,5300,26500
HL1918,iPhone,5,Guilherme,Monteiro,2018-07-07,Belo Horizonte,5300,26500
HL4379,Televisão,3,Isabel,Lacerda,2018-01-10,Belo Horizonte,2500,7500
HL2714,Tablet,4,Aline,Morais,2018-01-23,Belo Horizonte,1600,6400
HL2714,Tablet,2,Isabela,Rodrigues,2018-07-24,Belo Horizonte,1600,3200
HL4379,Televisão,3,Aline,Andrade,2018-10-07,Belo Horizonte,2500,7500
HL1918,iPhone,2,Raul,Junqueira,2018-09-24,Belo Horizonte,5300,10600
HL2714,Tablet,1,Lucas,Lemos,2018-11-15,Belo Horizonte,1600,1600
HL2714,Tablet,3,Leandro,Melo,2018-02-28,Belo Horizonte,1600,4800
HL1148,Câmera,2,Rogério,Gentile,2018-10-13,Belo Horizonte,2100,4200
HL7348,SmartWatch,3,Julia,Aliani,2018-11-28,Belo Horizonte,1400,4200
HL1148,Câmera,4,Victor,Gomes,2018-05-08,Belo Horizonte,2100,8400
HL2714,Tablet,5,Luã,Sá,2018-04-16,Belo Horizonte,1600,8000
HL1148,Câmera,3,Pedro,Santos,2018-12-24,Belo Horizonte,2100,6300
HL9962,Android,2,Thiago,Nóbrega,2018-11-11,Belo Horizonte,3400,6800
HL4379,Televisão,4,Rafael,Portela,2018-02-27,Belo Horizonte,2500,10000
HL9962,Android,4,Ana,Silva,2018-10-13,Belo Horizonte,3400,13600
HL8851,Notebook,4,João,Costa,2018-09-18,Belo Horizonte,3500,14000
HL1918,iPhone,4,Thomáz,Vannier,2018-03-05,Belo Horizonte,5300,21200
HL9962,Android,2,Paula,Carneiro,2018-05-26,Belo Horizonte,3400,6800
HL1918,iPhone,5,Ana,Carvalho,2018-06-19,Belo Horizonte,5300,26500
HL1918,iPhone,4,Felipe,Jorge,2018-08-02,Belo Horizonte,5300,21200
HL4379,Televisão,2,Daniel,Ortiz,2018-08-24,Belo Horizonte,2500,5000
HL9962,Android,5,Mônica,Rotolo,2018-02-02,Belo Horizonte,3400,17000
HL1918,iPhone,5,Raphael,Rezende,2018-02-09,Belo Horizonte,5300,26500
HL7348,SmartWatch,3,Anderson,Cavalcanti,2018-06-14,Belo Horizonte,1400,4200
HL1918,iPhone,2,Gustavo,Erthal,2018-08-09,Belo Horizonte,5300,10600
HL9962,Android,4,Ana,Fioretti,2018-10-23,Belo Horizonte,3400,13600
HL2714,Tablet,3,Amanda,Procaci,2018-03-12,Belo Horizonte,1600,4800
HL1918,iPhone,3,Carolina,Costa,2018-09-17,Belo Horizonte,5300,15900
HL4379,Televisão,4,Carolina,Siqueira,2018-08-01,Belo Horizonte,2500,10000
HL1918,iPhone,2,Igor,Azevedo,2018-06-08,Belo Horizonte,5300,10600
HL1918,iPhone,4,Karine,Barros,2018-03-22,Belo Horizonte,5300,21200
HL4379,Televisão,1,Pedro,Costa,2018-03-27,Belo Horizonte,2500,2500
HL8851,Notebook,4,Arthur,Rocha,2018-11-25,Belo Horizonte,3500,14000
HL7348,SmartWatch,2,Natalia,Accioly,2018-08-07,Belo Horizonte,1400,2800
HL4379,Televisão,5,Raíssa,Oros,2018-02-17,Belo Horizonte,2500,12500
HL4379,Televisão,1,Katharina,Barros,2018-02-16,Belo Horizonte,2500,2500
HL4379,Televisão,1,Lara,Moreira,2018-10-25,Belo Horizonte,2500,2500
HL1148,Câmera,2,Carlos,Mesquita,2018-01-11,Belo Horizonte,2100,4200
HL1918,iPhone,1,Carolina,Bernardes,2018-03-25,Belo Horizonte,5300,5300
HL1918,iPhone,3,Marcela,Gasperi,2018-12-31,Belo Horizonte,5300,15900
HL8851,Notebook,1,Gustavo,Junior,2018-04-12,Belo Horizonte,3500,3500
HL1918,iPhone,4,Matheus,Silva,2018-07-03,Belo Horizonte,5300,21200
HL1148,Câmera,1,Danilo,Mendonça,2018-04-19,Belo Horizonte,2100,2100
HL1918,iPhone,4,Wen,Braga,2018-05-01,Belo Horizonte,5300,21200
HL1918,iPhone,3,Gabriel,Brito,2018-04-28,Belo Horizonte,5300,15900
HL7348,SmartWatch,4,Jonatas,Passos,2018-08-14,Belo Horizonte,1400,5600
HL1918,iPhone,1,Gabriel,Rocha,2018-06-11,Belo Horizonte,5300,5300
HL9962,Android,4,Beatriz,Rocha,2018-01-11,Belo Horizonte,3400,13600
HL4379,Televisão,1,Adrielle,Gabriel,2018-04-08,Belo Horizonte,2500,2500
HL8851,Notebook,1,Caroll,Johnson,2018-12-11,Belo Horizonte,3500,3500
HL4379,Televisão,4,Bruna,Franco,2018-10-26,Belo Horizonte,2500,10000
HL2714,Tablet,4,Maria,Motta,2018-05-08,Belo Horizonte,1600,6400
HL1918,iPhone,3,Priscila,Garcia,2018-10-24,Belo Horizonte,5300,15900
HL1918,iPhone,5,Andressa,Nóbrega,2018-09-18,Belo Horizonte,5300,26500
HL4379,Televisão,2,Ana,Miura,2018-07-24,Belo Horizonte,2500,5000
HL8851,Notebook,2,Giulia,Pessanha,2018-11-13,Belo Horizonte,3500,7000
HL7348,SmartWatch,3,Samara,Pinto,2018-01-10,Belo Horizonte,1400,4200
HL4379,Televisão,4,Caio,Silva,2018-11-21,Belo Horizonte,2500,10000
HL7348,SmartWatch,1,Myllena,Carneiro,2018-01-22,Belo Horizonte,1400,1400
HL9962,Android,3,Juan,Fernandes,2018-01-09,Belo Horizonte,3400,10200
HL1148,Câmera,4,Raphael,Mattos,2018-06-22,Belo Horizonte,2100,8400
